proper names,WGSN-id,Designation,HIP,Bayer ID,Simbad spelling,Constellation,Origin,Ethnic-Cultural_Group_or_Language,Reference,Date of Adoption 
Mekbuda,2648,HR 2650,34088,? Gem,Mekbuda,Gem,"From an abbreviation of the pre-Islamic Arabian asterism name dhira' al-asad al-maqbuqa, ""the Lion's Folded Paw"". Arbitrarily applied as a star name to ? Gem in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Menkib,1274,HR 1228,18614,? Per,Menkib,Per,"Applied in recent times from an abbreviation of its pre-Islamic Arabian name mankib al-thurayya, ""the Shoulder of the Pleiades,"" for its location in the pre-Islamic Arabian asterism here.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Merga,5518,HR 5533,72487,38 Boo,Merga,Boo,"A Latin word meaning ""reaping hook,"" used in a Early Modern discussion of the constellation Bootes. According to this discussion, some classical sources mentioned a reaping hook held in Bootes' hand opposite the staff. Subsequently the word was applied as a star name to hBoo.",Latin,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Muphrid,5230,HR 5235,67927,? Boo,Muphrid,Boo,"The formation of this name begins with the ancient Arabic name for ? Boo: al-simak al-ramih, ""the Lance-bearing simak"" (the meaning of simak is uncertain). It seems that later Arabic poets expanded upon this name by making mention of some separate ""lance"" (al-rumh) that accompanied the star ? Boo. Subsequent Arabs attempted to identify this fictitious lance with actual stars, sometimes saying it was ? Boo with nearby stars, sometimes saying it was ""? Boo alone"" (where ""alone"", in arabic, is written mufradan). From these discussions came, with a slight copying mistake in the Arabic, the erroneous Arabic name mufrad al-ramih, roughly translating as ""the Isolated Single One of the Lance-Bearer"". With a wrong vocalization and with abbreviation, this erroneous name, as ""Muphrid"", was applied in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Nusakan,5751,HR 5747,75695,? CrB,Nusakan,CrB,"Applied in recent times from the collective pre-Islamic Arabian name al-nasaqan, ""the Two Lines [of stars]"" for two asterisms in today's Hercules, Serpens, Ophiuchus, and Lyra. al-nasaqan originally marked the boundaries of the pre-Islamic Arabian 'al-rauda, ""the Pasture"". These boundaries were ""the Northern Line"" al-nasaq al-sha'ami, and ""the Southern Line"" al-nasaq al-yamani.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Rasalas,3885,HR 3905,48455,? Leo,Rasalas,Leo,"Applied in recent times from an abbreviation of its name for the Arabic Almagest period ra's alasad (al-shamali), ""(the Northern [Part] of) the Lion's Head."" As originally applied, ? Leo was ""Rasalasad Borealis""  abbreviated in the first Western astronomical source as ""Rasalas. Bor.,"" for lack of space in the line), and ? Leo was ""Rasalasad Australis"" (after the Arabic).",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Rotanev,7869,HR 7882,101769,? Del,Rotanev,Del,"Nicolaus Venator, responsible for 1814 star catalogue)",Latin,"Palermo Star Catalogue (1814), p.147",9/12/2016
Sarin,6437,HR 6410,84379,? Her,Sarin,Her,"Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Be?vá? (1901-1965). It is probably a part of the body. The word probably is not of Semit's origin,",unknown,"Be?vá?, A. (1948) Atlas coeli Skalnaté Pleso. Praha: P?írodov?cké Vydavatelství",9/12/2016
Sham,7477,HR 7479,96757,? Sge,Sham,Sge,"Applied in recent times from the Arabic constellation name al-sahm, ""the Arrow,"" for Sagitta.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Situla,8593,HR 8610,111710,? Aqr,Situla,Aqr,"A Latin word meaning ""pot"" or ""bucket"", used in Early Modern philological studies as the translation of the Arabic constellation name al-dalw, for Aquarius. Subsequently the word was applied as a star name to k Aqr. The Arabs located al-dalw (""the Well Bucket"") in today's Square of Pegasus. In that location it corresponded to what in other cultures was Aquarius among the zodiacal signs. The Arabs subsequently used the indigenous name al-dalw for the Greek Water Pourer (Aquarius).",Latin,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Sualocin,7889,HR 7906,101958,? Del,Sualocin,Del,"reversed Latin  Nicolaus Venator, responsible for 1814 star catalogue)",Latin,"Palermo Star Catalogue (1814), p.147",9/12/2016
Subra,3823,HR 3852,47508,? Leo,Subra,Leo,"From the pre-Islamic Arabian lunar mansion name al-zubra, ""the Mane, or Shoulder,"" for ? and ? Leo, associated with the pre-Islamic Arabian asterism al-asad (see ? Gem; al-zubra was an alternative name for al-kharatan given under ? Leo). ""Subra"" was wrongly applied as a star name too Leo in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Syrma,5332,HR 5338,69701,? Vir,Syrma,Vir,"From the Greek word ?????, ""train of a dress"", used by Ptolemy in the Almagest in describing this star. The word was applied as a star name in recent times.",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Tegmine,3110,HR 3208,40167,? Cnc,Tegmine,Cnc,"A Latin word in the ablative case meaning ""covering"" or ""shell"" (nominative case would be ""tegmen""), used in a Early Modern discussion of the constellation Cancer. The word was subsequently applied as a star name to ? Cnc.",Latin,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Tureis,3159,HR 3185,39757,? Pup,Tureis,Pup,"From the Arabic word al-turais, ""the Little Shield,"" used in the Arabic Almagest in describing several stars (? Pup not among them) in the constellation Argo. Wrongly applied as a star name to ? Pup in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Zaniah,4693,HR 4689,60129,? Vir,Zaniah,Vir,"From an abbreviation of the pre-Islamic Arabian name zawiyat al-'awwa', ""the Angle of al-'awwa',"" for ? Vir. Wrongly transferred to ? Vir in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Zibal,1017,HR 984,15197,? Eri,Zibal,Eri,"Applied in recent times from a misreading of the pre-Islamic Arabian name al-ri'al, ""the Young of the Ostriches,"" for the numerous dim stars running between ? Eri and ? PsA (or, according to another tradition, those within the triangle formed by ? Phe/? PsA/? Cet).",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/12/2016
Acrab,5996,* bet Sco,78820,?1 Sco,Acrab,Sco,"Arabic name al-'Aqrab for the constellation Scorpius (""the scorpion"") (e.g. Al Sufi). Application of the transliteration ""Acrab"" specifically to the pair Beta1 and Beta2 Sco was made by Piazzi (1814) in the Palermo Catalog, and its use spread through the 19th century.",Arabic,"Kunitzsch, P. (1959) Arabische Sternnamen in Europa. Wiesbaden: Harrassowitz. No. 3; 88; 108",8/21/2016
Adhara,2605,HR 2618,33579,? CMa,Adhara,CMa,"Applied in recent times from the Arabic asterism name al-'adhara, ""the Virgins"", for ?, ?, ? and ?2 CMa. The significance of the name is unknown.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Adhil,420,HR 390,6411,? And,Adhil,And,"From the Arabic word al-dhail, ""the hem of a robe or dress"", used in the Arabic Almagest in describing 49 And and ? And, and transliterated in the Medieval Latin Almagest as adhil. This word was wrongly applied as a star name to ? And in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Alfirk,8192,HR 8238,106032,? Cep,Alfirk,Cep,"Applied in recent times from an abbreviation of the pre-Islamic Arabian names kaukaba al-firq (for ? and ? Cep ), and kawakib al-firq (for ?, ? , and ? Cep). kaukaba and kawakib mean ""two stars"" and ""stars"" (more than two), respectively, but the original Arabic script for al-firq can be vocalized in various ways with various meanings. If the vocalization al-firq is accepted, it means ""the Flock,"" and may refer to a flock of sheep here.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Algedi,7744,HR 7754,100064,?2 Cap,Algedi,Cap,"Reapplied in recent times (from its older medieval spelling), from the scientific Arabic constellation name al-jady, ""the Kid,"" for Capricornus.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Alkalurops,5589,HR 5733,75411,? Boo,Alkalurops,Boo,"The formation of this name begins with one of the words used by Ptolemy to describe this star in the Almagest: ??????????, ""club"", rarely used as ""sphepherd's staff"". This word was transliterated into Arabic as qulurubus, and hence into Latin as calurus. Then in Early Modern times, the derivation of calurus was mistakenly attributed to another Greek word: ????????, ""shepherd's staff"". This erroneous word, in its turn, was transliterated into Latin, then Arabicized with the article al-, then its spelling corrupted, to become ""Alkalurops"", which was thereafter applied as a star name to ? Boo.",Latin,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Alnasl,6801,HR 6746,88635,?2 Sgr,Alnasl,Sgr,"Applied in recent times from its late Arabic name al-nasl, ""the Point,"" in turn an abbreviation of the Arabic Almagest's nasl al-sahm, ""the Point of the Arrow.""",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Alrescha,629,* alf Psc,9487,? Psc,Alrescha,Psc,"From the pre-Islamic Arabian lunar mansion name al-risha', ""the Cord,"" for ? And. Wrongly transferred to ? Psc in recent times. According to a Arabic source, the pre-Islamic Arabian al-risha' included, in a larger sense, two curving lines of mostly dim stars in Andromeda and Pisces, meant to attach to the pre-Islamic Arabian al-dalw ""the Well Bucket"" (marked by today's Square of Pegasus). It is also possible that this ""cord"" was a remnant of the cord joining the two fish of the older Babylonian zodiac. Indeed, these stars of the cord were alternatively known by the pre-Islamic Arabians as al-hut, ""the Fish"" (a single fish), corresponding to what in other cultures was Pisces among the zodiacal signs (and according to this tradition, the Fish's brightest star, ? And, was batn al-hut, ""the Fish's Belly"").",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Alshain,7592,HR 7602,98036,? Aql,Alshain,Aql,"Applied in recent times (with a misreading in the second word) from abbreviating the Persian asterism name shahin-i tarazu, ""the Scale Beam,"" for ?, ? and ? Aql. The Persian name, in turn, was a medieval translation of these stars' pre-Islamic Arabian name al-mizan, ""the Balance"" (said to be a popular name for the pre-Islamic Arabians al-nasr al-ti'ir listed under ? Aql).",Persian,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Altais,7294,HR 7310,94376,? Dra,Altais,Dra,"Applied in recent times from a misreading of the script for the Arabic constellation name al-tinnin, ""the Serpent,"" as it appeared incorrectly in a late Arabic star catalog, as part of the name for ? Dra. (The incorrect word, al-tais, is a real word in Arabic meaning ""the He-goat,"" however it was never used by the pre-Islamic Arabians in stellar nomenclature. Furthermore, in the same Arabic source, in the name of ? Dra [formed parallel to that of ? Dra], the word was correctly written al-tinnin.)",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Alya,7166,* tet Ser,92946,?1 Ser,Alya,Ser,"From the Arabic word alya, naming the fatty tail of a breed of Eastern sheep. In Early Modern times this word was erroneously proposed as the origin of Alioth, a Medieval Latin name for ? UMa. The erroneous ""Alya"" was applied as a star name to ? Ser in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Asterope,1192,HR 1151,17579,21 Tau,Asterope,Tau,"These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Atlas,1221,HR 1178,17847,27 Tau,Atlas,Tau,"These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Biham,8431,HR 8450,109427,? Peg,Biham,Peg,"Applied in recent times from an abbreviation of the pre-Islamic Arabian name sa'd al-biham, for ? and ? Peg. A possible meaning for the name is ""the Lucky (Stars) of the Young Beasts [lambs, kids, and the like],"" but the exact historical connections are unknown.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Cebalrai,6649,HR 6603,86742,? Oph,Cebalrai,Oph,"Applied in recent times from its pre-Islamic Arabian name kalb al-ra'i, ""the Shepherd's Dog"" (in other traditions ? Her and 28/29 Cep are given the same name). This dog, together with the shepherd (marked by ? Oph), and the two lines of stars enclosing the Pasture, and all the dim stellar sheep in that portion of the sky (al-ghanam or al-aghnam for the sheep), seem to form a complete group of pre-Islamic Arabian figures.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Celaeno,1180,HR 1140,17489,16 Tau,Celaeno,Tau,"These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Dabih,7771,HR 7776,100345,?1 Cap,Dabih,Cap,"Applied in recent times from the pre-Islamic Arabian lunar mansion name sa'd aldhabih, for ? and ? Cap. Possible meanings for the name are ""the Lucky (Stars) of the Slaughterer,"" or, ""Sa'd, the Slaughtering One"" (this last using Sa'd as an unspecified proper name). However the exact historical connections are unknown.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Diphda,221,HR 188,3419,? Cet,Diphda,Cet,"Applied in recent times from an abbreviation of its pre-Islamic Arabian name al-difdi' al-thani, ""the Second Frog"" (a PsA was the pre-Islamic Arabians' ""First Frog,"" al-difdi' al-awwal).",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Dschubba,5964,HR 5953,78401,? Sco,Dschubba,Sco,"Applied in recent times from an abbreviation of the name for the Arabic Almagest period jabhat al-'aqrab, ""the Scorpion's Forehead,"" for ?, ?, and ? Sco.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Electra,1182,HR 1142,17499,17 Tau,Electra,Tau,"These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Eltanin,6733,HR 6705,87833,? Dra,Eltanin,Dra,"Applied in Early Modern times from the Arabic constellation name al-tinn?n, “the serpent”, for Draco.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Hadar,5274,HR 5267,68702,? Cen,Hadar,Cen,"From some pre-Islamic Arabian name hadari (an untranslated proper name), for one of a pair of stars, the other one being al-wazn. Sci-A authors ventured to identify these stars as ?/? Cen or ?/? Col, but exactly what two stars were originally intended, and the significance of their names, is unknown. ""Hadar"" was arbitrarily applied to ? Cen in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Homam,8613,HR 8634,112029,? Peg,Homam,Peg,"Applied in recent times from an abbreviation of the pre-Islamic Arabian name sa'd al-humam, for ? and ? Peg. A possible meaning for the name is ""the Lucky (Stars) of the Hero,"" but the exact historical connections are unknown.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Izar,5488,HR 5506,72105,? Boo,Izar,Boo,"Applied in recent times from the Arabic word izwar, ""girdle"" or ""loin cloth"", being a later version of the original term al-mi)zar used in the Arabic Almagest in describing this star.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Kitalpha,8114,HR 8131,104987,? Equ,Kitalpha,Equ,"Applied in recent times from the Arabic constellation name qit'at al-faras, ""the Section of the Horse,"" for Equuleus. Ptolemy had ????? ???????, ""the First Half of the Horse,"" for the constellation, because it shows only half the figure (as with the constellations Taurus, Pegasus, and the Greek ship Argo).",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Kornephoros,6156,HR 6148,80816,? Her,Kornephoros,Her,"From the Greek word ???????????, ""club-bearer"", mentioned in one Early Modern study as a name for the constellation Hercules. Properly it is of mythological rather than astronomical significance, for Ptolemy's constellation here was ""the Kneeler"", described without a club. ""Kornephoros"" was applied as a star name in recent times.",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Lesath,6559,HR 6508,85696,? Sco,Lesath,Sco,"The formation of this name begins with the Greek term ""(foggy) conglomeration,"" used by Ptolemy in the Tetrabiblos in describing several nebulous sky objects (in the present case, probably the open cluster M7). Ptolemy's term was translated by the Arabs as al-latkha, ""the Spot."" This word in turn became transliterated and corrupted in Medieval Latin to alascha, which was used in astrological texts in connection with Scorpius' tail. In Early Modern times, the derivation of alascha was erroneously attributed to the Arabic word las'a, ""sting, or bite (of a poisonous animal),"" rather than to al-latkha. Subsequently the erroneous word, written as ""Lesath,"" was applied as a star name to u Sco (and in recent times, also to ? Sco).",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Matar,8625,HR 8650,112158,? Peg,Matar,Peg,"Applied in recent times from an abbreviation of the pre-Islamic Arabian name sa'd matar for ? and o Peg. Its meaning is unknown. matar has been translated as ""rain,"" and as a common noun in Arabic, al-matar does mean ""the rain."" However, lack of the definitive article al- for the star points to a use of the word in a sense different from the common noun.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Menkent,5287,HR 5288,68933,? Cen,Menkent,Cen,"Applied in recent times and possibly coined from the Arabic word mankib, ""shoulder"" (in some recent transliterations: menkib; Ptolemy described this star on the right ""shoulder"" of the Centaur), plus the Latinized ""Kentaurus"" for the Arabic constellation name qanturis. Hence this name could be of similar construction to the abbreviation for ? Cen: ""Rigil Kent.""",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Mesarthim,584,* gam Ari,,?2 Ari,Mesarthim,Ari,"The formation of this name begins with the Arabic lunar mansion name al-sharatan, for ? and ? Ari. From the numerous medieval lists of the Arabic lunar mansions (all in Latin transliteration), the Early Modern scholar Johannes Bayer grasped the form Sartai, and used it for the three brighter stars ?, ? and ? Ari. Bayer also erroneously explained Sartai as from the Hebrew word mesharethim, ""servants"", rather than from al-sharatan. Subsequently, Bayer's erroneous word, written as ""Mesarthim"", was applied as a star name.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Mothallah,580,HR 544,8796,? Tri,Mothallah,Tri,"Applied in recent times from the Arabic constellation name al-muthallath, ""the Triangle,"" for Triangulum.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Muliphein,2641,HR 2657,34045,? CMa,Muliphein,CMa,"The formation of this name begins with the Arabic names hadari and al-wazn. In Arabic discussions of these names it came to be said that they were muhlifan, meaning ""two [things] causing dispute [in this case as to these stars' identification] and the swearing of an oath"". From this usage, al-muhlifan was wrongly taken as a name for hadari and al-wazn together. Transliterated and further mutilated as ""Muliphein"", the name was arbitrarily applied to the single star ? CMa in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Naos,3137,HR 3165,39429,? Pup,Naos,Pup,"Applied in recent times from the word ????, Greek for the ""ship"", used in one Early Modern discussion as a name for the ancient constellation Argo (since divided into Puppis, Carina, and Vela).",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Nashira,8256,HR 8278,106985,? Cap,Nashira,Cap,"Applied in recent times from the pre-Islamic Arabian name sa<d nashira, for ? and ? Cap. Its meaning is unknown. As originally applied, ? was ""Nashira Prima"" and ? was ""Nashira Posterior.""",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Nekkar,5593,HR 5602,73555,? Boo,Nekkar,Boo,"Applied in recent times from a misreading of the Arabic constellation name al-baqqar, ""the Ox-driver"", for Boötes.",corrupted,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Nunki,7159,HR 7121,92855,? Sgr,Nunki,Sgr,"???NUN.KI or ???NUN??  = the star or constellation of Eridu where Eridu is one of the first big cities known. Archealogical proofs date back to the 3rd millennium (Sumer). It is located at the southern coast of Mesopotamia. The identification of the star or asterism is highly uncertain: it is often identified with Canopus and adjacent areas or ""somewhere in Argo"". ???NUN.KI is listed in MUL.APIN and there, it seems to refer to the area of Aquarius with unknown identification (Canopus not excluded) but the identification with other Babylonian texts seems to propose only in the northern part of modern Argo, i.e. Vela. The Euphratean name ""Nunki"" was mentioned and associated with Sigma Sgr in Robert Brown, Jr. (1892, Proceedings of the Society of Biblical Archaeology, Volume 14, p. 298; ""Nun-ki"", ""Prince-of-the-Earth""), and its use diffused through the 20th century after being mentioned in Richard Hinckley Allen's (Star Names, their lore and meaning, p. 359). The modern Nunki is, thus, not identical with the Sumerian one; it is one of the many misapplications.",Sumerian,"MUL.APIN I ii 20 (Hunger+Steele 2019), Horowitz, W. (2018) ‘Communication and miscommunication in the southern sky’, in Registers and Modes of Communication in the Ancient Near East. 1st edn. Routledge, pp. 69–84. Robert Brown, Jr. (1892, Proceedings of the Society of Biblical Archaeology, Volume 14, p. 298. Richard Hinckley Allen's (Star Names, their lore and meaning, p. 359).",8/21/2016
Pherkad,5708,HR 5735,75097,? UMi,Pherkad,UMi,"Applied in recent times from the singular form of the pre-Islamic Arabian asterism name al-farqadan, ""the Two Calves,"" for ? and ? UMi.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
Proxima Centauri,10078,GJ 551,70890,? Cen,Proxima Centauri,Cen,"Its recent Latin name meaning ""the Nearest"", as this component of the system is currently the nearest star to our solar system.",Latin,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/21/2016
